"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh","Naor_2018_significant_genes_avg_log2FC"
"MYR1","CXCL12",1.63763713478343,0.958,0.786,1.68127358203405e-37,1.37955883754267e-35,NA
"MYR1","NQO1",1.03651984899815,0.997,0.961,1.80687097322429e-37,1.47643944399589e-35,NA
"MYR1","CITED4",-1.1883887556645,0.234,0.725,2.3460391962711e-37,1.90905289120633e-35,-1.37377553409259
"MYR1","TUBB4B",-0.835123677592878,0.963,1,2.7787223354541e-37,2.25179850085084e-35,NA
"MYR1","GAPDH",-0.512981522611273,1,1,2.89812636476609e-37,2.33889531437974e-35,NA
"MYR1","ASPH",0.777161268542939,0.997,0.996,3.1569403134538e-37,2.53732608553862e-35,NA
"MYR1","TSPAN4",0.881110124874471,0.989,0.886,3.88756231548768e-37,3.11179528853179e-35,NA
"MYR1","ERH",-0.568454031487285,0.997,1,5.18284757405032e-37,4.13174080384963e-35,NA
"MYR1","HEBP2",0.879013032779791,0.983,0.799,5.46868953758661e-37,4.34196236929599e-35,NA
"MYR1","RAP1B",-0.687988942549186,1,1,6.61904794123652e-37,5.23411891837054e-35,NA
