"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"NUP67",19.4136440443649,0.496077840761099,0.951779468228925,10,"Non-significant"
"ROP18",18.3577344729513,0.564774442139858,0.951779468228925,113,"Non-significant"
"297900",19.6516828111937,0.480882795667198,0.951779468228925,38,"Non-significant"
"RON8",17.4998676766777,0.621172170185775,0.956155688841696,23,"Non-significant"
"320630",15.6032577830157,0.741577498070374,0.986181594292539,92,"Non-significant"
"321710",14.9285631204847,0.781068186653828,0.986267717893663,55,"Non-significant"
"304720",7.1819657459747,0.99605882150354,0.999019044037624,16,"Non-significant"
"254880",17.6603484689098,0.610639856350865,0.956155688841696,16,"Non-significant"
"GRA48",18.8083630441566,0.535258356135724,0.951779468228925,49,"Non-significant"
"ROP26",18.400034785703,0.561996007515939,0.951779468228925,46,"Non-significant"
"228760",15.2666674635905,0.761577720671794,0.986267717893663,17,"Non-significant"
"RASP2",17.2704748285161,0.636182328402546,0.956155688841696,35,"Non-significant"
"225320",21.7117539294957,0.35735541923458,0.947008314013869,67,"Non-significant"
"203930",20.0240402956822,0.45742097698336,0.951779468228925,19,"Non-significant"
"291630",45.0262513312763,0.00111448479538112,0.0943597126756016,18,"Non-significant"
"315210",14.4648414959363,0.806700723441719,0.986267717893663,19,"Non-significant"
"273980",35.6628134378201,0.0170244566917328,0.518405714491763,46,"Non-significant"
"246710",7.41483778306783,0.995103653440837,0.999019044037624,22,"Non-significant"
"NTPaseI",21.590008515713,0.364168533459184,0.947008314013869,42,"Non-significant"
"316280",10.3495266732759,0.961511451890342,0.999019044037624,32,"Non-significant"
"GRA44",20.1079075902575,0.452194181410621,0.951779468228925,8,"Non-significant"
"GRA52_CST5",10.4152578497901,0.960135727033091,0.999019044037624,3,"Non-significant"
"272460",10.0935687845743,0.966556687779776,0.999019044037624,13,"Non-significant"
"202420",35.0473339179525,0.0200560811219147,0.518405714491763,7,"Non-significant"
"270200",24.8359952942485,0.208643859711793,0.828055318231178,18,"Non-significant"
"RON11",24.9928134593965,0.202562081849799,0.828055318231178,5,"Non-significant"
"RON2",29.6862694874616,0.0756053572295038,0.635357433300283,3,"Non-significant"
"GRA1",16.8707325237141,0.66214917055365,0.965245866377397,20,"Non-significant"
"209985",12.7469636024857,0.888312541637555,0.992515920190739,38,"Non-significant"
"226690",14.9220307550794,0.781438384258028,0.986267717893663,25,"Non-significant"
"297280",13.671250681786,0.847206087014163,0.986267717893663,15,"Non-significant"
"213069",8.71352323726959,0.98604359497108,0.999019044037624,11,"Non-significant"
"ROP47",6.03836632880123,0.998849076453904,0.999019044037624,9,"Non-significant"
"ASP3",19.0304250607215,0.520806802385517,0.951779468228925,6,"Non-significant"
"264600",23.4330445560975,0.268980345149936,0.877800277936873,33,"Non-significant"
"RON10",20.9549363815004,0.400795614951965,0.951779468228925,20,"Non-significant"
"297510",29.9396943970409,0.0713247146580349,0.624706121487616,20,"Non-significant"
"268790",19.8401571923217,0.468957065292731,0.951779468228925,20,"Non-significant"
"GRA53_CST6",28.1664146475859,0.106138149169921,0.681277750820221,30,"Non-significant"
"ROP22",28.0334457438144,0.109240230488927,0.681277750820221,34,"Non-significant"
"243690",8.65126798926186,0.986653198910319,0.999019044037624,7,"Non-significant"
"242820",28.0474542852567,0.108909930025298,0.681277750820221,4,"Non-significant"
"253130",17.9433620573871,0.592029527077653,0.956155688841696,8,"Non-significant"
"CYP18",12.6849884667758,0.890818212956949,0.992515920190739,5,"Non-significant"
